[12-May-2025 04:37:28 UTC] PHP Fatal error:  Cannot redeclare mostrar_ranking_tiempos() (previously declared in C:\xampp\htdocs\torneo\wp-content\plugins\plugin-ranking-tiempos\plugin-ranking-tiempos.php:12) in C:\xampp\htdocs\torneo\wp-content\plugins\plugin-cronometro-tiempos\plugin-cronometro-tiempos.php on line 263
[12-May-2025 05:38:19 UTC] PHP Fatal error:  Cannot redeclare ajax_mostrar_ranking_tiempos() (previously declared in C:\xampp\htdocs\torneo\wp-content\plugins\plugin-cronometro-tiempos\plugin-cronometro-tiempos.php:235) in C:\xampp\htdocs\torneo\wp-content\plugins\plugin-ranking-tiempos\plugin-ranking-tiempos.php on line 53
[12-May-2025 05:38:25 UTC] PHP Fatal error:  Cannot redeclare ajax_mostrar_ranking_tiempos() (previously declared in C:\xampp\htdocs\torneo\wp-content\plugins\plugin-cronometro-tiempos\plugin-cronometro-tiempos.php:235) in C:\xampp\htdocs\torneo\wp-content\plugins\plugin-ranking-tiempos\plugin-ranking-tiempos.php on line 53
[12-May-2025 05:39:59 UTC] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 262144 bytes) in C:\xampp\htdocs\torneo\wp-content\plugins\plugin-cronometro-tiempos\plugin-cronometro-tiempos.php on line 235
[12-May-2025 05:39:59 UTC] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 262144 bytes) in Unknown on line 0
[12-May-2025 05:40:19 UTC] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 262144 bytes) in C:\xampp\htdocs\torneo\wp-content\plugins\plugin-cronometro-tiempos\plugin-cronometro-tiempos.php on line 235
[12-May-2025 05:40:19 UTC] PHP Fatal error:  Allowed memory size of 536870912 bytes exhausted (tried to allocate 262144 bytes) in Unknown on line 0
[13-May-2025 01:23:35 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No connection could be made because the target machine actively refused it in C:\xampp\htdocs\torneo\wp-includes\class-wpdb.php on line 1988
[13-May-2025 01:27:18 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No connection could be made because the target machine actively refused it in C:\xampp\htdocs\torneo\wp-includes\class-wpdb.php on line 1988
[13-May-2025 01:39:50 UTC] Automatic updates starting...
[13-May-2025 01:39:51 UTC]   Automatic plugin updates starting...
[13-May-2025 01:39:51 UTC]   Automatic plugin updates complete.
[13-May-2025 01:39:52 UTC] Automatic updates complete.
[13-May-2025 04:23:06 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in C:\xampp\htdocs\torneo\wp-includes\functions.php on line 6121
[13-May-2025 04:23:06 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in C:\xampp\htdocs\torneo\wp-includes\functions.php on line 6121
[13-May-2025 04:23:06 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in C:\xampp\htdocs\torneo\wp-includes\functions.php on line 6121
